Company,Sub-Industry,Industry
Asia Commercial Bank/Vietnam,Commercial Banks,Financials
Bank for Investment and Development of Vietnam JSC,Commercial Banks,Financials
Bao Viet Holdings,Insurance,Financials
Central Petrovietnam Fertilizer & Chemicals JSC,Chemicals,Energy (Resource Transformation)
DHG Pharmaceutical JSC,Biotechnology & Pharmaceuticals,Health Care
FPT Corp,Multiline and Specialty Retailers & Distributors,Consumer Discretionary (Consumer Goods)
Ho Chi Minh City Development Joint Stock Commercial Bank,Commercial Banks,Financials
Hoa Phat Group JSC,Iron & Steel Producers,Materials (Extractives & Minerals Processing)
Lien Viet Post Joint Stock Commercial Bank,Commercial Banks,Financials
Masan Group Corp,Processed Foods,Consumer Staples (Food and Beverage)
Military Commercial Joint Stock Bank,Commercial Banks,Financials
"Mondelez International, Inc.",Processed Foods,Consumer Staples (Food and Beverage)
Nam A Commercial JSB,Commercial Banks,Financials
PetroVietNam Ca Mau Fertilizer JSC,Chemicals,Energy (Resource Transformation)
PetroVietnam Power Corp,Electric Utilities & Power Generators,Utilities (Infrastructure)
Phu Nhuan Jewelry JSC,"Apparel, Accessories & Footwear",Consumer Discretionary (Consumer Goods)
Saigon - Hanoi Commercial Joint Stock Bank,Commercial Banks,Financials
Saigon Beer Alcohol Beverage Corp,Alcoholic Beverages,Consumer Staples (Food and Beverage)
Saigon Thuong Tin Commercial JSB,Commercial Banks,Financials
SSI Securities Corp,Investment Banking & Brokerage,Financials
Suntory Beverage & Food Ltd,Non-Alcoholic Beverages,Consumer Staples (Food and Beverage)
Thanh Thanh Cong - Bien Hoa JSC,Agricultural Products,Consumer Staples (Food and Beverage)
Vietjet Aviation JSC,Airlines,Industrials (Transportation)
Vietnam Dairy Products JSC,"Meat, Poultry & Dairy",Consumer Staples (Food and Beverage)
Vietnam Joint Stock Commercial Bank for Industry and Trade,Commercial Banks,Financials
Vietnam Prosperity JSC Bank,Commercial Banks,Financials
Vietnam Technological & Commercial Joint Stock Bank,Commercial Banks,Financials
Vingroup JSC,Real Estate,Utilities (Infrastructure)
PVI Holdings/Vietnam,Insurance,Financials
Binh Minh Plastics JSC ,Construction Materials,Materials (Extractives & Minerals Processing)
Vietnam National Petroleum Group,Oil & Gas – Midstream,Materials (Extractives & Minerals Processing)
Viglacera Corp JSC,Building Products & Furnishings,Consumer Discretionary (Consumer Goods)
Mobile World Investment Corp,Multiline and Specialty Retailers & Distributors,Consumer Discretionary (Consumer Goods)
Vietnam Construction and Import-Export JSC,Home Builders,Utilities (Infrastructure)
Coteccons Construction JSC,Engineering & Construction Services,Utilities (Infrastructure)
Vicostone JSC,Construction Materials,Materials (Extractives & Minerals Processing)
Southern Airports Services JSC,Professional & Commercial Services,Communication Services (Services)
Airports Corp of Vietnam JSC,Professional & Commercial Services,Communication Services (Services)
PetroVietnam Drilling & Well Services JSC,Oil & Gas – Services,Materials (Extractives & Minerals Processing)
Nam Kim Steel JSC,Iron & Steel Producers,Materials (Extractives & Minerals Processing)
PetroVietnam Technical Services Corp,Oil & Gas – Services,Materials (Extractives & Minerals Processing)
CMC Corp/Vietnam,Software & IT Services,Telecommunication Services (Technology & Communications)
Imexpharm Pharmaceutical JSC,Biotechnology & Pharmaceuticals,Health Care
Becamex Asphalt and Concrete JSC,Construction Materials,Materials (Extractives & Minerals Processing)
Becamex Utilities (Infrastructure) Development JSC,Real Estate,Utilities (Infrastructure)
Becamex Mineral JSC,Construction Materials,Materials (Extractives & Minerals Processing)
Becamex Pharmaceutical JSC,Biotechnology & Pharmaceuticals,Health Care
Becamex Urban Development JSC,Construction Materials,Materials (Extractives & Minerals Processing)
Vietnam Airlines JSC,Airlines,Industrials (Transportation)
Gemadept Corp,Air Freight & Logistics,Industrials (Transportation)
Samsung Electronics Co Ltd,Hardware,Telecommunication Services (Technology & Communications)
Kinh Bac City Development Share Holding Corp,Engineering & Construction Services,Utilities (Infrastructure)
Petrovietnam Industrials (Transportation) Corp,Marine Industrials (Transportation),Industrials (Transportation)
Traphaco JSC,Biotechnology & Pharmaceuticals,Health Care
Traphaco High Tech Jsc,Drug Retailers,Health Care
Vissan JSC,"Meat, Poultry & Dairy",Consumer Staples (Food and Beverage)
BINH SON Refining and Petrochemical Co Ltd,Oil & Gas – Refining & Marketing,Materials (Extractives & Minerals Processing)
Vietnam National Reinsurance Corp,Insurance,Financials
Domesco Medical Import Export JSC,Biotechnology & Pharmaceuticals,Health Care
Vietnam Maritime Development JSC,Professional & Commercial Services,Communication Services (Services)
OPC Pharmaceutical JSC,Biotechnology & Pharmaceuticals,Health Care
Aeon Co Ltd,Multiline and Specialty Retailers & Distributors,Consumer Discretionary (Consumer Goods)
Sonadezi Corp,Engineering & Construction Services,Utilities (Infrastructure)
Viettel Post Joint Stock Corp,Air Freight & Logistics,Industrials (Transportation)